[2026-04-24_11:46:52] Epoch:21/50, lr:0.01, train_loss:0.006410512392052469, top1:0.8225751495361329, top5:0.9575423431396485
[2026-04-24_11:47:09] Epoch:22/50, lr:0.01, train_loss:0.006277451130680423, top1:0.8232654571533203, top5:0.9565068054199218
[2026-04-24_11:47:27] Epoch:23/50, lr:0.01, train_loss:0.006022551052391212, top1:0.8198136138916016, top5:0.9577149200439453
[2026-04-24_11:47:44] Epoch:24/50, lr:0.01, train_loss:0.006165167279640569, top1:0.8205039978027344, top5:0.9575423431396485
[2026-04-24_11:48:02] Epoch:25/50, lr:0.01, train_loss:0.006319146308592183, top1:0.8168795776367187, top5:0.95547119140625
[2026-04-24_11:48:19] Epoch:26/50, lr:0.001, train_loss:0.006373250557288052, top1:0.8179151153564453, top5:0.9580600738525391
[2026-04-24_11:48:37] Epoch:27/50, lr:0.001, train_loss:0.00521858294117958, top1:0.8203314208984375, top5:0.9575423431396485
[2026-04-24_11:48:54] Epoch:28/50, lr:0.001, train_loss:0.00517626344028147, top1:0.8229203033447265, top5:0.958577880859375
[2026-04-24_11:49:11] Epoch:29/50, lr:0.001, train_loss:0.0050965521256736614, top1:0.8232654571533203, top5:0.9584053039550782
[2026-04-24_11:49:28] Epoch:30/50, lr:0.001, train_loss:0.00468717116436505, top1:0.8230928802490234, top5:0.9577149200439453
[2026-04-24_11:49:46] Epoch:31/50, lr:0.001, train_loss:0.005114171126401646, top1:0.8251640319824218, top5:0.9577149200439453
[2026-04-24_11:50:03] Epoch:32/50, lr:0.001, train_loss:0.0045320967415426955, top1:0.8239558410644531, top5:0.9582327270507812
[2026-04-24_11:50:20] Epoch:33/50, lr:0.001, train_loss:0.004662148273014959, top1:0.82412841796875, top5:0.9590956878662109
[2026-04-24_11:50:37] Epoch:34/50, lr:0.001, train_loss:0.004723763385629083, top1:0.8236106872558594, top5:0.9582327270507812
[2026-04-24_11:50:54] Epoch:35/50, lr:0.001, train_loss:0.004764835003446391, top1:0.8249913787841797, top5:0.9577149200439453
[2026-04-24_11:51:12] Epoch:36/50, lr:0.001, train_loss:0.00443098769756034, top1:0.8255091857910156, top5:0.958577880859375
[2026-04-24_11:51:29] Epoch:37/50, lr:0.001, train_loss:0.004393904059976736, top1:0.8237832641601562, top5:0.9577149200439453
[2026-04-24_11:51:47] Epoch:38/50, lr:0.001, train_loss:0.004280707494236846, top1:0.8246462249755859, top5:0.9582327270507812
[2026-04-24_11:52:04] Epoch:39/50, lr:0.001, train_loss:0.004208216418888658, top1:0.8239558410644531, top5:0.9587504577636718
[2026-04-24_11:52:21] Epoch:40/50, lr:0.001, train_loss:0.00417640747284477, top1:0.8236106872558594, top5:0.9587504577636718
[2026-04-24_11:52:38] Epoch:41/50, lr:0.0001, train_loss:0.004267804132665488, top1:0.8246462249755859, top5:0.9573697662353515
[2026-04-24_11:52:56] Epoch:42/50, lr:0.0001, train_loss:0.004282819666959187, top1:0.8260269927978515, top5:0.9582327270507812
[2026-04-24_11:53:13] Epoch:43/50, lr:0.0001, train_loss:0.004348947119185741, top1:0.8261995697021485, top5:0.9571971130371094
[2026-04-24_11:53:31] Epoch:44/50, lr:0.0001, train_loss:0.004386680009973018, top1:0.8256817626953125, top5:0.9580600738525391
[2026-04-24_11:53:48] Epoch:45/50, lr:0.0001, train_loss:0.004576476087714446, top1:0.827235107421875, top5:0.9580600738525391
[2026-04-24_11:54:06] Epoch:46/50, lr:0.0001, train_loss:0.004271490421354216, top1:0.8246462249755859, top5:0.9580600738525391
[2026-04-24_11:54:23] Epoch:47/50, lr:0.0001, train_loss:0.004257043101577128, top1:0.8261995697021485, top5:0.9582327270507812
[2026-04-24_11:54:41] Epoch:48/50, lr:0.0001, train_loss:0.004154634377126523, top1:0.8244736480712891, top5:0.9571971130371094
[2026-04-24_11:54:59] Epoch:49/50, lr:0.0001, train_loss:0.00434082127151456, top1:0.8251640319824218, top5:0.9582327270507812
[2026-04-24_11:55:16] Epoch:50/50, lr:0.0001, train_loss:0.00462592438239842, top1:0.8260269927978515, top5:0.9587504577636718
