[2026-04-24_11:32:52] Epoch:31/80, lr:0.1, train_loss:0.003030530118093185, top1:0.9828978729248047, top5:0.9969913482666015
[2026-04-24_11:33:00] Epoch:32/80, lr:0.1, train_loss:0.053286338406433535, top1:0.8160728454589844, top5:0.9505938720703125
[2026-04-24_11:33:08] Epoch:33/80, lr:0.1, train_loss:0.049201815703569296, top1:0.9323040771484375, top5:0.9887569427490235
[2026-04-24_11:33:16] Epoch:34/80, lr:0.1, train_loss:0.013121922671274803, top1:0.9697545623779297, top5:0.9944576263427735
[2026-04-24_11:33:24] Epoch:35/80, lr:0.1, train_loss:0.005347977929851403, top1:0.9729216003417969, top5:0.995328598022461
[2026-04-24_11:33:32] Epoch:36/80, lr:0.1, train_loss:0.00592297773699385, top1:0.9516231536865234, top5:0.9936659240722656
[2026-04-24_11:33:40] Epoch:37/80, lr:0.1, train_loss:0.01218914969630733, top1:0.96856689453125, top5:0.9952494049072266
[2026-04-24_11:33:48] Epoch:38/80, lr:0.1, train_loss:0.005685731762560544, top1:0.970308837890625, top5:0.9976247406005859
[2026-04-24_11:33:55] Epoch:39/80, lr:0.1, train_loss:0.01433160644502367, top1:0.9504354858398437, top5:0.9898654174804687
[2026-04-24_11:34:03] Epoch:40/80, lr:0.1, train_loss:0.0097422178066638, top1:0.9570863342285156, top5:0.9898654174804687
[2026-04-24_11:34:11] Epoch:41/80, lr:0.010000000000000002, train_loss:0.003998367453006084, top1:0.9745051574707031, top5:0.9973080444335938
[2026-04-24_11:34:19] Epoch:42/80, lr:0.010000000000000002, train_loss:0.0024405618715281417, top1:0.9766429138183593, top5:0.9976247406005859
[2026-04-24_11:34:26] Epoch:43/80, lr:0.010000000000000002, train_loss:0.0022724007774906404, top1:0.9770388031005859, top5:0.9977830505371094
[2026-04-24_11:34:34] Epoch:44/80, lr:0.010000000000000002, train_loss:0.002235904825827131, top1:0.9776721954345703, top5:0.9977830505371094
[2026-04-24_11:34:42] Epoch:45/80, lr:0.010000000000000002, train_loss:0.002215590312859261, top1:0.9780680847167968, top5:0.9980206298828125
[2026-04-24_11:34:50] Epoch:46/80, lr:0.010000000000000002, train_loss:0.0022290868536484513, top1:0.9786223602294922, top5:0.998416519165039
[2026-04-24_11:34:57] Epoch:47/80, lr:0.010000000000000002, train_loss:0.002262749570095307, top1:0.9791765594482422, top5:0.9984956359863282
[2026-04-24_11:35:05] Epoch:48/80, lr:0.010000000000000002, train_loss:0.002312065224622848, top1:0.9794932556152344, top5:0.9984956359863282
[2026-04-24_11:35:13] Epoch:49/80, lr:0.010000000000000002, train_loss:0.00235319416440854, top1:0.9795724487304688, top5:0.998416519165039
[2026-04-24_11:35:21] Epoch:50/80, lr:0.010000000000000002, train_loss:0.0024900255420898364, top1:0.9799683380126953, top5:0.9986540222167969
[2026-04-24_11:35:29] Epoch:51/80, lr:0.010000000000000002, train_loss:0.002529512818709209, top1:0.9798100280761719, top5:0.9986540222167969
[2026-04-24_11:35:37] Epoch:52/80, lr:0.010000000000000002, train_loss:0.0026206163592733347, top1:0.980126724243164, top5:0.998416519165039
[2026-04-24_11:35:44] Epoch:53/80, lr:0.010000000000000002, train_loss:0.0026194139069260717, top1:0.980126724243164, top5:0.9984956359863282
[2026-04-24_11:35:52] Epoch:54/80, lr:0.010000000000000002, train_loss:0.0026111785525020645, top1:0.980126724243164, top5:0.9986540222167969
[2026-04-24_11:36:00] Epoch:55/80, lr:0.010000000000000002, train_loss:0.0026597065008971115, top1:0.9807601165771485, top5:0.9987332153320313
[2026-04-24_11:36:08] Epoch:56/80, lr:0.010000000000000002, train_loss:0.0026926229694289724, top1:0.9813143920898437, top5:0.9985748291015625
[2026-04-24_11:36:16] Epoch:57/80, lr:0.010000000000000002, train_loss:0.00276330014835898, top1:0.9813935089111329, top5:0.9986540222167969
[2026-04-24_11:36:24] Epoch:58/80, lr:0.010000000000000002, train_loss:0.0028224112738117384, top1:0.9804434204101562, top5:0.9988124084472656
[2026-04-24_11:36:32] Epoch:59/80, lr:0.010000000000000002, train_loss:0.0028857409518647506, top1:0.9820269775390625, top5:0.9988915252685547
[2026-04-24_11:36:40] Epoch:60/80, lr:0.010000000000000002, train_loss:0.0029547654104406956, top1:0.9814727020263672, top5:0.9987332153320313
[2026-04-24_11:36:47] Epoch:61/80, lr:0.0010000000000000002, train_loss:0.002838197693398053, top1:0.9820269775390625, top5:0.9987332153320313
[2026-04-24_11:36:55] Epoch:62/80, lr:0.0010000000000000002, train_loss:0.002872942169741183, top1:0.9820269775390625, top5:0.9988124084472656
